Disease,County,Year,MALE,FEMALE
Amebiasis,SACRAMENTO,2005,2,0
Amebiasis,SACRAMENTO,2006,1,0
Amebiasis,SACRAMENTO,2007,2,1
Amebiasis,SACRAMENTO,2008,0,0
Amebiasis,SACRAMENTO,2009,1,2
Amebiasis,SACRAMENTO,2010,0,1
Amebiasis,SACRAMENTO,2011,9,3
Amebiasis,SACRAMENTO,2012,5,2
Amebiasis,SACRAMENTO,2013,5,2
Amebiasis,SACRAMENTO,2014,3,1
Amebiasis,SACRAMENTO,2015,4,0
Amebiasis,SACRAMENTO,2016,1,1
Amebiasis,SACRAMENTO,2017,1,0
Amebiasis,SACRAMENTO,2018,0,0
Amebiasis,SAN BENITO,2001,0,0
Amebiasis,SAN BENITO,2002,0,0
Amebiasis,SAN BENITO,2003,0,0
Amebiasis,SAN BENITO,2004,0,0
Amebiasis,SAN BENITO,2005,0,0
Amebiasis,SAN BENITO,2006,0,0
Amebiasis,SAN BENITO,2007,0,0
Amebiasis,SAN BENITO,2008,0,0
Amebiasis,SAN BENITO,2009,0,0
Amebiasis,SAN BENITO,2010,0,0
Amebiasis,SAN BENITO,2011,,
Amebiasis,SAN BENITO,2012,,
Amebiasis,SAN BENITO,2013,0,0
Amebiasis,SAN BENITO,2014,,
Amebiasis,SAN BENITO,2015,0,0
Amebiasis,SAN BENITO,2016,,
Amebiasis,SAN BENITO,2017,,
Amebiasis,SAN BENITO,2018,0,0
Amebiasis,SAN BERNARDINO,2001,3,3
Amebiasis,SAN BERNARDINO,2002,2,3
Amebiasis,SAN BERNARDINO,2003,7,5
Amebiasis,SAN BERNARDINO,2004,2,0
Amebiasis,SAN BERNARDINO,2005,1,1
Amebiasis,SAN BERNARDINO,2006,1,1
Amebiasis,SAN BERNARDINO,2007,3,5
Amebiasis,SAN BERNARDINO,2008,3,3
Amebiasis,SAN BERNARDINO,2009,2,1
Amebiasis,SAN BERNARDINO,2010,2,1
Amebiasis,SAN BERNARDINO,2011,0,0
Amebiasis,SAN BERNARDINO,2012,2,1
Amebiasis,SAN BERNARDINO,2013,2,3
Amebiasis,SAN BERNARDINO,2014,3,1
Amebiasis,SAN BERNARDINO,2015,4,2
Amebiasis,SAN BERNARDINO,2016,1,2
Amebiasis,SAN BERNARDINO,2017,3,0
Amebiasis,SAN BERNARDINO,2018,4,0
Amebiasis,SAN DIEGO,2001,19,13
Amebiasis,SAN DIEGO,2002,15,7
Amebiasis,SAN DIEGO,2003,11,1
Amebiasis,SAN DIEGO,2004,9,6
Amebiasis,SAN DIEGO,2005,9,3
